165814,-610917
582995,-452498
616178,-984691
627809,-1.0107e+06
781133,-1.39834e+06
1.2492e+06,-1.8419e+06
1.49208e+06,-4.35124e+06
6.40904e+06,-9.98107e+06
1.31382e+06,1.19015e+07
-2.2364e+06,805978
-464813,2.40014e+06
-674040,-381397
-684324,116836
-1.25799e+06,193183
210426,125508
-901817,-769006
-638360,-739098
-716941,-1.26554e+06
-841132,-1.67635e+06
-3.33369e+06,-6.54104e+06
-7.56487e+06,-3.99334e+06
1.34269e+07,1.18851e+07
-3.8907e+06,1.30381e+06
894830,2.124e+06
-489816,3.45977e+06
-207598,2.63237e+06
166257,1.92817e+06
318406,1.32107e+06
101185,1.25336e+06
337456,1.53827e+06
424202,1.33413e+06
46926.3,1.41952e+06
-92092.9,2.98803e+06
1.69927e+06,-2.87819e+06
-3.49443e+06,645350
-23570.6,-113051
-1.51821e+06,362277
-662152,291985
-445881,445263
-198974,594761
-177144,233276
-87756.8,271566
3399.26,291130
-306273,-60477
-161771,345687
-173211,162374
-354627,203110
-6.12386e+06,2.34963e+06
47116.4,-750289
-317071,-97487.6
132040,124589
-118130,298346
21832.1,236660
-98954,296504
-87896.8,321598
-139996,314100
-103537,264265
-107404,239113
-159688,194784
-740608,227884
-701955,659475
79400.2,115842
98691.5,109088
3210.53,164615
6919.31,221807
-21504.9,241583
-8515.84,221447
-27180.8,225969
-115639,199172
-42864,274890
-66453.7,188161
-98355.4,206952
-148598,-9282.5
-600629,636285
51374.5,-346923
519430,212067
50952.4,281570
5240.41,221062
9453.18,242295
19800.2,216149
17946.8,178912
-12384,177341
18458.3,182476
-14330.3,183694
13740.3,218720
-41682.8,126218
115593,247731
68579.1,97713.6
-40461.7,204549
10702,186836
-5431.04,107764
-26623.6,152357
-7834.04,168223
-18925.6,162973
-15610.6,188696
-16626.8,172951
-16623.9,185886
-2623.36,177605
57826.9,147113
-223186,117001
-91284.6,319397
-29944.8,-143230
-7968.9,299469
-87775.8,83568.2
-34992.8,121768
-23719.5,103070
-28556.4,105781
-46931.2,119568
-68069.9,112949
-79002.6,127126
-70074.9,123843
-126854,163008
-27677.6,373245
-278617,209893
270663,-309810
-143596,256267
-442.966,84530.7
-58646.6,132605
-30267.3,97095
35037.6,115733
-34226,86700.2
-170251,133648
41897.4,108615
-64709.4,110091
-132181,207817
-487983,254799
-92200.7,141823
446820,-325474
203002,388894
-98866.8,365169
-137080,2640.03
240661,-60321.2
84143.2,-18333.7
160324,135940
-107214,188052
86570.3,28594.6
-85967.3,14738
-58383.4,-4930.41
7593.34,14754.2
-110838,427.904
745856,775609
-373026,39373.1
188489,251867
-119867,161832
2419.28,140311
-59554.8,166665
73805,39109.9
-31609,97349.4
-56507.9,133485
-20345.8,148178
-61331.5,36462.2
-49248.6,4795.46
-113098,382650
261425,577410
-229548,-18146.3
42725.6,318216
-132362,66168.2
-120512,111642
-29853.6,96446.9
-2373.45,33807.4
-54210.8,100647
-60346.1,89829.8
-49896.9,54637.5
-21243.5,104533
-54637.6,146775
-14065.1,30824.7
-277896,-89753.6
281068,-74367.2
-49668.1,136834
83311.4,19895.5
-11963.5,56445.3
-32469.8,87172.8
16852.2,96002.1
26869.1,66321.2
-23353.6,56465.4
-2955.22,60909.3
-23158.9,71441.4
-49539.3,17981.4
-85659.2,-129040
-177110,-46434.9
448716,148433
-70621.1,178634
49040.8,207331
-12705.3,127544
10702,144585
-6920.23,123649
43080.2,107244
-18898.8,76007.6
-25060.9,85738.4
-14531.8,62027.9
25763.2,-4868.11
-6045.19,-52057.1
-25481.9,170178
5139.27,397321
-20927.6,98310.6
-74029,210480
31741,129853
-33202,202716
-7171.62,147809
30640.5,160707
33418.4,130103
7284.68,85035.1
26487.7,70454.9
33523.1,102057
59237.4,79108.1
-134830,176766
-308812,179902
68158.2,-60505.9
-136353,41395.6
69712.4,52742.9
-82479.3,65525.2
-19952.1,91882.7
18605.6,141779
8690.8,65860.9
-88796,57508.5
-21642.6,94449.4
13258,85313.3
-42178.7,85318.8
-67711.2,125295
-168768,30101.3
125868,69713.8
-29504.1,68687.4
38313.5,87602
49992,56107.4
5799.93,50716
53545.9,54789.5
-11146.8,65279
-10799.8,48392.9
14262.1,30151.8
21452.5,55964.7
116556,29395.2
85152.4,-79263.5
-124087,-188994
-111547,110621
110429,11258.3
-144253,169784
19964.4,15634.1
-65281.7,40292.1
-84140.1,63069
57717.8,101488
2416.97,25017.3
-36149.2,133855
68919.8,-136074
-155109,-87227.7
-23477.7,38645.3
-267033,19300.9
-200787,384077
190727,-89320.8
-235023,197692
48588.5,-39664.2
-66067.4,88445.4
-57615.9,94240.9
8911.27,152466
-60007.7,-23216.3
-56210.2,96642.8
-32462.6,67234.6
-64074.4,100086
-87761.1,75340.6
-25807.2,166078
-165373,145791
-48795.2,-157703
75117.2,70933.2
2276.42,77662.2
-45843,66445.7
-7979.81,114241
1122.94,96801.4
-5709.34,71099.1
-40789.2,52601.7
2913.6,78434
-25682.3,80535.6
-24376.2,76466.3
-75172.4,66476.4
-91092.9,128902
-8931.31,69369.2
-34967.5,52312.9
19496.5,88351.4
-33924.9,72392.8
-16898,73282.4
-1920.57,79712.8
-13524.5,76565.7
-17757.3,66715.8
-17549.8,72592.3
-23716,71100.5
-11524.4,70215.3
-35986.3,50171.3
-7781.15,66033.6
-279.592,89262
-23927.9,60433
-3319.75,89012.6
-20769.8,67612.2
-16568.3,73931.2
-19632.9,85090
-11016.5,82223
-22884.9,59353.1
-20646,63955
-16682,66119.1
-4172.65,76935.3
-36314.4,44930.5
-24134.6,61908.6
-34692.1,90891.8
-23833.6,63051.7
-16562.1,68061.6
-19670.6,78122.4
-34162.1,58185.2
-23958.7,68022.7
-23362.9,66253.5
-18692.2,66798.6
-20028,71358.3
-13970.4,59888.3
-24639,63824.7
-18292.1,56806.9
-23276.1,65865.1
-21927,57926.5
-17901.2,60955.4
-28284.3,53717.1
-4889.54,67219.3
-25553.2,65912.6
-10962.4,64438.3
-12394.8,67015.4
-23178.1,64520.4
-15846.2,60226
-23138.6,62200.6
-20487.8,61562.8
-13180.1,67764.9
